FIPS,poverty_rate,median_age,COPD_CrudePrev,COPD_AdjPrev,CSMOKING_CrudePrev,ozone_mean,pm25_mean
40147,0.14629651185349007,39.4,8.8,7.4,16.9,0.0461105,7.374668444444445
41005,0.0748379774241391,42.1,6,5,10.5,0.042740749999999994,NA
41009,0.08724154359218675,43.2,7.9,6.4,14.3,0.03486725,NA
41029,0.1243185140988445,42.7,8,6.3,12.9,0.04637325,7.315449666666667
41039,0.15275684400688408,40.2,7.5,6.5,12.2,0.03804475,6.0758409516129035
41047,0.13125033400431088,37.2,7.2,6.4,12.4,0.03930275,4.052457444444444
41051,0.12524423182364405,38.5,5.3,5.1,12,0.032850000000000004,6.164516470588236
41059,0.12596711164730257,36.7,7.8,7,14.6,0.047385,NA
41067,0.07980533806871687,37.8,5,4.7,9.7,0.03543925,5.713262944444445
44003,0.07391769707936395,43.6,7,5.7,12.7,0.041052,3.3974274444444443
44007,0.130224128652379,37.9,6.7,6,12.2,0.03584975,6.367662166666666
44009,0.07980622748119907,45.3,6.3,5.1,9.5,0.042477,5.525356111111111
45003,0.1385326414581388,41.6,7.5,6.1,13.4,0.04189675,NA
45007,0.14387509066316428,40.5,8.2,7,14.2,0.04441475,NA
45015,0.10317311142627685,36.7,6.2,5.7,12.9,0.039292,NA
45019,0.116404695681438,39,5.7,5,10.5,0.044442999999999996,7.7526068285714285
45025,0.2016250725478816,42.4,10.3,8.5,18.1,0.043836,7.485309117647058
45031,0.2029451398697904,41.5,9.4,7.9,16.4,0.0434645,NA
45037,0.1643672497331034,42,8.8,7.4,16.3,0.03974975,8.159260777777778
45045,0.1100230294048737,38.5,6.4,5.7,11.3,0.045564,8.211571941176471
45051,0.12817194807344764,48.2,9,6.7,14.6,0.04153325,7.951258444444444
45079,0.16892338092483478,34.2,5.8,5.7,11.2,0.040440666666666666,7.810690045454545
45083,0.14502885008556587,37.9,7.5,6.7,14.2,0.046252,8.443153777777779
45091,0.08887848262603999,39.4,6,5.3,11.3,0.04276975,6.693634777777778
46011,0.12823092887239795,28,4.9,5.5,10.7,0.04134875,9.577748555555555
46027,0.1983125689954266,24.5,5.1,6.2,12.4,0.0386305,4.727322333333333
46029,0.10183277687007175,39.9,7.3,6.1,16.2,0.0325975,7.392358111111111
46033,0.06597262837758802,57.2,7.9,5.2,13.9,0.04773925,7.477819333333333
46071,0.37450054486015255,33.2,12.3,11.3,28.5,0.040614250000000005,7.5926174444444445
46093,0.07647942119991809,37,6,5.5,14.1,0.0405655,NA
46099,0.08840196448809974,35.7,5.6,5.3,14.2,0.0371195,7.1384776
47001,0.14845086237286365,42,9.5,7.9,18.5,0.042625750000000004,NA
47009,0.08880271878156124,43.9,9,7.3,16.6,0.0417935,7.7044282105263155
47025,0.18175620840772602,42.5,11.3,9.5,20.9,0.0415325,NA
47037,0.13918734042645892,34.6,6.2,6.3,14,0.044918875,7.929475472222222
47041,0.2141477188289493,42.2,11.8,9.9,22.2,0.0402975,NA
47065,0.1254308402871255,39.5,7.7,6.7,15.4,0.043402875,7.793820076923077
47089,0.11516630613640985,44.1,9.7,7.9,18.1,0.04430125,NA
47093,0.1224518161601186,37.3,7.4,6.8,15,0.040106125,7.681581348837209
47105,0.12637469328673057,48.7,9.9,7.2,15.9,0.04316875,5.899956888888889
47155,0.13642151526976237,43.6,10.1,8.2,18.8,0.04092225,NA
47157,0.17542466918036226,35.8,7.9,7.3,17.2,0.044506,8.002791322033898
47163,0.14914619437567447,45,10.3,8.3,19.2,0.043934,6.1460492222222225
47165,0.089526669555490615,39.7,7.5,6.5,15.3,0.04704625,7.260226294117647
