FIPS,reason
13079,no ozone monitor
13081,no ozone monitor
13083,no ozone monitor
13087,no ozone monitor
13091,no ozone monitor
13093,no ozone monitor
13095,no ozone monitor
13099,no ozone monitor
13101,no ozone monitor
13103,no ozone monitor
13105,no ozone monitor
13107,no ozone monitor
13109,no ozone monitor
13111,no ozone monitor
13113,no ozone monitor
13115,no ozone monitor
13117,no ozone monitor
13119,no ozone monitor
13123,no ozone monitor
13125,no ozone monitor
13129,no ozone monitor
13131,no ozone monitor
13133,no ozone monitor
13137,no ozone monitor
13139,no ozone monitor
13141,no ozone monitor
13143,no ozone monitor
13145,no ozone monitor
13147,no ozone monitor
13149,no ozone monitor
13153,no ozone monitor
13155,no ozone monitor
13157,no ozone monitor
13159,no ozone monitor
13161,no ozone monitor
13163,no ozone monitor
13165,no ozone monitor
13167,no ozone monitor
13169,no ozone monitor
13171,no ozone monitor
13173,no ozone monitor
13175,no ozone monitor
13177,no ozone monitor
13179,no ozone monitor
13181,no ozone monitor
13183,no ozone monitor
13185,no ozone monitor
13187,no ozone monitor
13189,no ozone monitor
13191,no ozone monitor
13193,no ozone monitor
13195,no ozone monitor
13197,no ozone monitor
13199,no ozone monitor
13201,no ozone monitor
13205,no ozone monitor
13207,no ozone monitor
13209,no ozone monitor
13211,no ozone monitor
13217,no ozone monitor
13219,no ozone monitor
13221,no ozone monitor
13223,no ozone monitor
13225,no ozone monitor
13227,no ozone monitor
13229,no ozone monitor
13233,no ozone monitor
13235,no ozone monitor
13237,no ozone monitor
13239,no ozone monitor
13241,no ozone monitor
13243,no ozone monitor
13249,no ozone monitor
13251,no ozone monitor
13253,no ozone monitor
13255,no ozone monitor
13257,no ozone monitor
13259,no ozone monitor
13261,no ozone monitor
13263,no ozone monitor
13265,no ozone monitor
13267,no ozone monitor
13269,no ozone monitor
13271,no ozone monitor
13273,no ozone monitor
13275,no ozone monitor
13277,no ozone monitor
13279,no ozone monitor
13281,no ozone monitor
13283,no ozone monitor
13285,no ozone monitor
13287,no ozone monitor
13289,no ozone monitor
13291,no ozone monitor
13293,no ozone monitor
13295,no ozone monitor
13297,no ozone monitor
13299,no ozone monitor
13301,no ozone monitor
13303,no ozone monitor
13305,no ozone monitor
13307,no ozone monitor
13309,no ozone monitor
13311,no ozone monitor
13313,no ozone monitor
13315,no ozone monitor
13317,no ozone monitor
13319,no ozone monitor
13321,no ozone monitor
15001,no ozone monitor
15005,no ozone monitor
15007,no ozone monitor
15009,no ozone monitor
16003,no ozone monitor
16007,no ozone monitor
16009,no ozone monitor
16011,no ozone monitor
16013,no ozone monitor
16015,no ozone monitor
16017,no ozone monitor
16019,no ozone monitor
16021,no ozone monitor
16025,no ozone monitor
16027,no ozone monitor
16029,no ozone monitor
16031,no ozone monitor
16033,no ozone monitor
16035,no ozone monitor
16037,no ozone monitor
16039,no ozone monitor
16041,no ozone monitor
16043,no ozone monitor
16045,no ozone monitor
16047,no ozone monitor
16051,no ozone monitor
16053,no ozone monitor
16055,no ozone monitor
16057,no ozone monitor
16059,no ozone monitor
16061,no ozone monitor
16063,no ozone monitor
16065,no ozone monitor
16067,no ozone monitor
16069,no ozone monitor
16071,no ozone monitor
16073,no ozone monitor
16075,no ozone monitor
16077,no ozone monitor
16079,no ozone monitor
