predictor,mean_inc_mse,sd_inc_mse
smoking,63.70403535625251,1.216315008417841
age,59.50942366505693,2.665454248052601
poverty,32.95154329408017,0.9567844199999832
ozone,5.053325174399288,1.8072417157634244
