term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-6.755778164471289,0.31530647020558006,-21.426068929275434,3.401249906732563e-78,-7.37487103199005,-6.136685296952528
ozone,18.899255111478233,5.387258041664663,3.508139941564478,4.810110457213375e-4,8.321568497869828,29.47694172508664
smoking,0.4073695289418185,0.009341694061209107,43.60767182832491,4.907626902915814e-199,0.38902745001122707,0.4257116078724099
poverty,8.67310753477436,0.6071201967670047,14.285651475539447,1.134089678827131e-40,7.481048953483668,9.865166116065051
age,0.16107183622148094,0.0045609741935215805,35.31522639401639,7.01805146592949e-156,0.15211652810393642,0.17002714433902547
