term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),-7.0393495102670895,0.40513484164595737,-17.375324920631474,7.62907810998935e-52,-7.835594424894626,-6.2431045956395534,without_pm25
ozone,26.983161242413477,6.573631407519169,4.104757259670676,4.8267327270789045e-5,14.063461328163404,39.90286115666355,without_pm25
smoking,0.3871217118013383,0.011780245725739559,32.861938605871906,2.133046419576399e-120,0.3639690233925247,0.41027440021015193,without_pm25
poverty,8.658865901881143,0.7716413738185658,11.221360330941872,7.295368218194892e-26,7.142295474803016,10.17543632895927,without_pm25
age,0.16591674296949857,0.006292255993383679,26.36840318384382,1.5664457754717678e-92,0.1535500533608948,0.17828343257810234,without_pm25
(Intercept),-6.279425748297263,0.4293722778437162,-14.624665057167155,1.0021838326595271e-39,-7.1233118212768245,-5.435539675317702,with_pm25
ozone,26.273068832096712,6.430165866817122,4.085908416092175,5.2221495367859905e-5,13.635253812444686,38.910883851748736,with_pm25
smoking,0.39758502835133513,0.011743138806485738,33.85679373318391,2.346041414075413e-124,0.37450512356189236,0.4206649331407779,with_pm25
poverty,8.78833775843746,0.7551092319799027,11.638498625416572,1.8310674112260023e-27,7.304249946233451,10.27242557064147,with_pm25
age,0.15782590365834942,0.006400593822209709,24.65800956009772,7.977454536242121e-85,0.1452462093835183,0.17040559793318055,with_pm25
pm25,-0.08000160195676882,0.017427292808692714,-4.590592631625729,5.782464390223672e-6,-0.1142531138728353,-0.04575009004070235,with_pm25
