model,mean_r2,sd_r2,mean_rmse,sd_rmse
linear,0.8988713161322186,0.031102544388553893,0.560995537527252,0.07100486326940109
random_forest,0.86855496373156,0.031026071544621368,0.6449656561727062,0.094798012519813
