model,estimate,std.error,statistic,p.value,conf.low,conf.high
without_pm25,26.983161242413477,6.573631407519169,4.104757259670676,4.8267327270789045e-5,14.063461328163404,39.90286115666355
with_pm25,26.273068832096712,6.430165866817122,4.085908416092175,5.2221495367859905e-5,13.635253812444686,38.910883851748736
