outcome,n,ozone_coefficient,ozone_se,ozone_p_value,ozone_std_coef,ozone_std_se,ozone_std_conf_low,ozone_std_conf_high,adj_r_squared,max_vif
COPD prevalence (primary outcome),684,18.899255111478233,5.387258041664663,4.810110457213375e-4,0.0756809694443574,0.02157296194136628,0.03332323774146641,0.11803870114724839,0.9023525429875848,1.6778730288976462
Current asthma prevalence (2nd respiratory outcome),684,11.3398216165374,7.708780647531908,0.14174718135735415,0.04540965705809281,0.03086936438488467,-0.015201225119679751,0.10602053923586537,0.22507651562724418,1.677873028897646
Diabetes prevalence (falsification check),684,-19.151069094275563,12.783650140337171,0.13457438138557867,-0.07668934391336879,0.05119138452555339,-0.1772017787438911,0.023823090917153497,0.6679041523007491,1.6778730288976462
